48# Number of electrodes
# x z
0     0
1     0
2     0
3     0
4     0
5     0
6     0
7     0
8     0
9     0
10     0
11     0
12     0
13     0
14     0
15     0
16     0
17     0
18     0
19     0
20     0
21     0
22     0
23     0
24     0
25     0
26     0
27     0
28     0
29     0
30     0
31     0
32     0
33     0
34     0
35     0
36     0
37     0
38     0
39     0
40     0
41     0
42     0
43     0
44     0
45     0
46     0
47     0
909# Number of data
# a b m n rhoa
19	43	27	35	760.109
20	44	28	36	703.030
21	45	29	37	654.157
22	46	30	38	591.834
23	47	31	39	543.382
24	48	32	40	487.985
1	28	10	19	553.063
2	29	11	20	509.986
3	30	12	21	417.754
4	31	13	22	432.243
5	32	14	23	367.884
6	33	15	24	361.613
7	34	16	25	353.815
8	35	17	26	301.235
9	36	18	27	314.101
10	37	19	28	366.828
11	38	20	29	397.402
12	39	21	30	429.666
13	40	22	31	459.024
14	41	23	32	520.408
15	42	24	33	568.186
16	43	25	34	602.233
17	44	26	35	641.015
18	45	27	36	626.843
19	46	28	37	581.052
20	47	29	38	527.293
21	48	30	39	484.908
1	31	11	21	359.322
2	32	12	22	277.919
3	33	13	23	260.533
4	34	14	24	271.588
5	35	15	25	261.434
6	36	16	26	269.653
7	37	17	27	272.503
8	38	18	28	262.830
9	39	19	29	291.328
10	40	20	30	335.629
11	41	21	31	345.948
12	42	22	32	415.178
13	43	23	33	437.087
14	44	24	34	455.511
15	45	25	35	483.979
16	46	26	36	507.955
17	47	27	37	481.915
18	48	28	38	439.511
1	34	12	23	193.348
2	35	13	24	206.594
3	36	14	25	153.824
4	37	15	26	222.148
5	38	16	27	225.663
6	39	17	28	227.247
7	40	18	29	234.157
8	41	19	30	234.001
9	42	20	31	271.114
10	43	21	32	268.520
11	44	22	33	313.527
12	45	23	34	386.762
13	46	24	35	371.420
14	47	25	36	387.863
15	48	26	37	363.739
1	37	13	25	174.901
2	38	14	26	148.180
3	39	15	27	152.575
4	40	16	28	206.781
5	41	17	29	195.575
6	42	18	30	220.758
7	43	19	31	216.918
8	44	20	32	223.306
9	45	21	33	261.760
10	46	22	34	266.745
11	47	23	35	291.170
12	48	24	36	315.372
1	40	14	27	149.906
2	41	15	28	159.259
3	42	16	29	150.333
4	43	17	30	189.278
5	44	18	31	169.547
6	45	19	32	202.905
7	46	20	33	180.385
8	47	21	34	181.727
9	48	22	35	205.421
1	43	15	29	158.382
2	44	16	30	150.556
3	45	17	31	133.105
4	46	18	32	163.076
5	47	19	33	150.273
6	48	20	34	147.758
1	46	16	31	105.353
2	47	17	32	113.553
3	48	18	33	102.022
1	2	4	3	945.067
2	3	5	4	1115.575
3	4	6	5	1004.004
4	5	7	6	1586.246
5	6	8	7	1333.881
6	7	9	8	1451.730
7	8	10	9	1951.703
8	9	11	10	3253.583
9	10	12	11	5954.279
10	11	13	12	4133.685
11	12	14	13	4222.849
12	13	15	14	4124.799
13	14	16	15	4316.149
14	15	17	16	5924.647
15	16	18	17	5051.511
16	17	19	18	4192.750
17	18	20	19	4081.903
18	19	21	20	3441.544
19	20	22	21	3083.529
20	21	23	22	1459.627
21	22	24	23	1670.815
22	23	25	24	1407.542
23	24	26	25	1382.545
24	25	27	26	2373.124
25	26	28	27	2221.287
26	27	29	28	3221.300
27	28	30	29	3496.492
28	29	31	30	2648.268
29	30	32	31	2680.097
30	31	33	32	2919.201
31	32	34	33	1845.674
32	33	35	34	1681.968
33	34	36	35	1367.134
34	35	37	36	1056.552
35	36	38	37	855.639
36	37	39	38	947.960
37	38	40	39	1125.062
38	39	41	40	638.707
39	40	42	41	933.079
40	41	43	42	1134.683
41	42	44	43	1194.856
42	43	45	44	1493.169
